id,peer,task,Date
1,peer 1,C1_SimpleBashUtils,2023-02-01
2,peer 2,C1_SimpleBashUtils,2023-02-01
5,peer 4,C1_SimpleBashUtils,2023-04-01
6,peer 5,C1_SimpleBashUtils,2023-05-01
7,peer 1,C2_s21_string+,2023-05-01
8,peer 2,C2_s21_string+,2023-05-01
9,peer 3,C2_s21_string+,2023-05-03
10,peer 4,C2_s21_string+,2023-05-04
11,peer 5,C2_s21_string+,2023-05-05
12,peer 5,C2_s21_string+,2023-05-06
13,peer 1,DO1_Linux,2023-05-10
14,peer 2,CPP1_matrix+,2023-05-10
15,peer 2,CPP2_SmartCalc_v2.0,2023-05-15
16,peer 2,CPP2_SmartCalc_v2.0,2023-05-16
3,peer 3,C1_SimpleBashUtils,2023-04-03
4,peer 3,C1_SimpleBashUtils,2023-04-03
